date,covid symptoms,hospitals near me,baconator,helmet,aluminium,plane,age,hen,table,digital,mutation,oppose,city,athlete,prediction,tumble,stroke,diabetes,lungs,ivermectin,hydroxychloroquine,bleach,lake
2020-11-11,46.0,61.0,18.0,58.0,29.0,20.0,44.0,20.0,69.0,68.0,22.0,30.0,42.0,33.0,10.0,61.0,52.0,72.0,47.0,2.0,1.0,21.0,36.0
2020-11-12,46.0,81.0,10.0,58.0,37.0,22.0,47.0,20.0,74.0,100.0,24.0,27.0,42.0,36.0,11.0,56.0,52.0,74.0,50.0,1.0,1.0,21.0,37.0
2020-11-13,46.0,60.0,34.0,62.0,28.0,22.0,44.0,20.0,70.0,83.0,27.0,41.0,42.0,30.0,11.0,62.0,54.0,73.0,52.0,2.0,1.0,21.0,38.0
2020-11-14,47.0,63.0,25.0,75.0,26.0,24.0,47.0,25.0,70.0,74.0,15.0,13.0,40.0,29.0,13.0,75.0,48.0,69.0,40.0,2.0,1.0,25.0,39.0
2020-11-15,48.0,55.0,34.0,79.0,29.0,25.0,50.0,26.0,73.0,73.0,14.0,20.0,37.0,30.0,12.0,84.0,49.0,61.0,44.0,2.0,1.0,25.0,38.0
2020-11-16,53.0,76.0,9.0,62.0,32.0,20.0,48.0,22.0,75.0,72.0,25.0,38.0,42.0,36.0,9.0,65.0,57.0,73.0,47.0,1.0,1.0,24.0,37.0
2020-11-17,55.0,66.0,25.0,59.0,28.0,21.0,45.0,23.0,73.0,69.0,24.0,47.0,39.0,36.0,10.0,73.0,64.0,76.0,51.0,2.0,1.0,22.0,35.0
2020-11-18,55.0,63.0,23.0,63.0,29.0,20.0,47.0,23.0,73.0,70.0,27.0,40.0,40.0,32.0,10.0,63.0,59.0,78.0,53.0,2.0,1.0,22.0,36.0
2020-11-19,52.0,68.0,22.0,60.0,37.0,21.0,47.0,24.0,72.0,76.0,27.0,34.0,41.0,42.0,12.0,56.0,56.0,76.0,48.0,2.0,1.0,21.0,35.0
2020-11-20,52.0,64.0,23.0,65.0,32.0,22.0,49.0,25.0,74.0,70.0,25.0,43.0,42.0,31.0,12.0,75.0,49.0,72.0,53.0,2.0,1.0,22.0,37.0
2020-11-21,51.0,60.0,39.0,77.0,27.0,21.0,49.0,31.0,74.0,65.0,13.0,23.0,42.0,29.0,17.0,51.0,48.0,59.0,42.0,2.0,2.0,24.0,39.0
2020-11-22,48.0,62.0,18.0,84.0,25.0,20.0,51.0,37.0,81.0,70.0,12.0,12.0,37.0,26.0,12.0,53.0,52.0,54.0,38.0,2.0,1.0,24.0,36.0
2020-11-23,54.0,69.0,33.0,66.0,38.0,20.0,48.0,31.0,75.0,70.0,20.0,24.0,44.0,29.0,10.0,81.0,46.0,71.0,49.0,2.0,1.0,22.0,37.0
2020-11-24,52.0,60.0,22.0,65.0,28.0,21.0,45.0,33.0,72.0,70.0,21.0,33.0,41.0,29.0,12.0,59.0,51.0,69.0,44.0,2.0,1.0,22.0,36.0
2020-11-25,51.0,45.0,22.0,58.0,41.0,20.0,46.0,48.0,69.0,70.0,16.0,20.0,40.0,29.0,14.0,56.0,45.0,62.0,47.0,2.0,1.0,21.0,35.0
2020-11-26,46.0,51.0,7.0,76.0,32.0,17.0,47.0,100.0,72.0,80.0,8.0,6.0,33.0,23.0,14.0,52.0,45.0,51.0,37.0,1.0,1.0,19.0,31.0
2020-11-27,42.0,47.0,16.0,81.0,29.0,18.0,47.0,27.0,73.0,85.0,10.0,10.0,37.0,28.0,14.0,75.0,43.0,49.0,36.0,2.0,1.0,18.0,36.0
2020-11-28,45.0,45.0,10.0,92.0,33.0,20.0,50.0,22.0,80.0,74.0,8.0,14.0,37.0,27.0,16.0,67.0,45.0,53.0,39.0,2.0,1.0,23.0,38.0
2020-11-29,47.0,47.0,19.0,77.0,30.0,20.0,58.0,23.0,80.0,69.0,9.0,13.0,36.0,29.0,12.0,57.0,48.0,56.0,37.0,2.0,1.0,22.0,35.0
2020-11-30,50.0,57.0,18.0,74.0,35.0,18.0,45.0,16.0,77.0,80.0,18.0,27.0,41.0,30.0,11.0,57.0,53.0,64.0,42.0,2.0,1.0,20.0,35.0
2020-12-01,49.0,77.0,35.0,69.0,39.0,19.0,43.0,16.0,72.0,73.0,24.0,38.0,40.0,33.0,13.0,77.0,52.0,68.0,47.0,2.0,1.0,21.0,33.0
2020-12-02,47.0,61.0,54.0,63.0,30.0,20.0,45.0,17.0,70.0,72.0,24.0,30.0,40.0,39.0,13.0,75.0,49.0,69.0,51.0,2.0,2.0,21.0,34.0
2020-12-03,47.0,66.0,36.0,67.0,34.0,22.0,46.0,17.0,70.0,72.0,23.0,31.0,42.0,40.0,12.0,55.0,55.0,74.0,50.0,2.0,1.0,20.0,34.0
2020-12-04,45.0,49.0,60.0,68.0,35.0,22.0,45.0,17.0,73.0,69.0,22.0,37.0,42.0,35.0,12.0,58.0,51.0,67.0,52.0,6.0,1.0,20.0,36.0
2020-12-05,45.0,39.0,60.0,86.0,34.0,21.0,49.0,21.0,73.0,68.0,13.0,20.0,42.0,29.0,16.0,87.0,51.0,60.0,45.0,4.0,1.0,22.0,39.0
2020-12-06,45.0,46.0,66.0,81.0,26.0,21.0,49.0,23.0,76.0,71.0,13.0,17.0,36.0,29.0,12.0,60.0,52.0,56.0,47.0,3.0,1.0,22.0,35.0
2020-12-07,49.0,69.0,40.0,75.0,27.0,21.0,49.0,19.0,78.0,74.0,25.0,34.0,44.0,34.0,11.0,83.0,64.0,70.0,49.0,3.0,1.0,20.0,36.0
2020-12-08,49.0,56.0,44.0,74.0,31.0,21.0,45.0,16.0,77.0,70.0,24.0,36.0,40.0,39.0,11.0,63.0,60.0,70.0,51.0,9.0,1.0,22.0,35.0
2020-12-09,47.0,73.0,41.0,67.0,32.0,21.0,44.0,19.0,75.0,72.0,25.0,43.0,40.0,37.0,12.0,62.0,58.0,69.0,53.0,17.0,1.0,20.0,35.0
2020-12-10,46.0,43.0,36.0,67.0,36.0,22.0,43.0,16.0,71.0,74.0,24.0,44.0,39.0,45.0,13.0,61.0,56.0,69.0,49.0,22.0,1.0,20.0,37.0
2020-12-11,44.0,56.0,45.0,74.0,30.0,22.0,44.0,18.0,69.0,72.0,22.0,40.0,41.0,41.0,12.0,68.0,55.0,67.0,47.0,19.0,1.0,20.0,36.0
2020-12-12,43.0,56.0,50.0,100.0,27.0,21.0,45.0,22.0,71.0,74.0,12.0,14.0,40.0,33.0,15.0,77.0,45.0,61.0,40.0,15.0,1.0,21.0,38.0
2020-12-13,43.0,45.0,45.0,90.0,33.0,22.0,48.0,21.0,74.0,69.0,11.0,17.0,39.0,28.0,13.0,66.0,52.0,54.0,41.0,17.0,1.0,23.0,35.0
2020-12-14,46.0,53.0,25.0,78.0,33.0,22.0,43.0,16.0,69.0,71.0,21.0,28.0,42.0,34.0,10.0,56.0,48.0,63.0,47.0,18.0,1.0,20.0,35.0
2020-12-15,45.0,59.0,39.0,75.0,32.0,21.0,41.0,17.0,68.0,74.0,29.0,40.0,41.0,35.0,11.0,57.0,54.0,68.0,43.0,17.0,2.0,25.0,35.0
2020-12-16,45.0,51.0,24.0,67.0,33.0,23.0,42.0,19.0,71.0,73.0,28.0,44.0,42.0,29.0,13.0,58.0,54.0,62.0,47.0,15.0,4.0,24.0,34.0
2020-12-17,45.0,54.0,45.0,67.0,26.0,23.0,42.0,16.0,68.0,72.0,28.0,36.0,42.0,32.0,13.0,55.0,48.0,65.0,45.0,16.0,2.0,20.0,36.0
2020-12-18,46.0,55.0,22.0,64.0,26.0,24.0,44.0,18.0,65.0,69.0,23.0,35.0,43.0,34.0,16.0,55.0,46.0,62.0,49.0,12.0,2.0,20.0,37.0
2020-12-19,44.0,59.0,45.0,86.0,25.0,23.0,47.0,23.0,62.0,70.0,22.0,15.0,41.0,24.0,18.0,57.0,47.0,53.0,43.0,11.0,2.0,23.0,38.0
2020-12-20,46.0,62.0,41.0,83.0,25.0,24.0,49.0,26.0,65.0,64.0,52.0,11.0,39.0,30.0,14.0,52.0,46.0,52.0,40.0,12.0,1.0,25.0,36.0
2020-12-21,49.0,58.0,40.0,76.0,22.0,22.0,47.0,21.0,57.0,64.0,100.0,15.0,43.0,28.0,12.0,56.0,45.0,59.0,41.0,12.0,2.0,20.0,37.0
2020-12-22,49.0,67.0,35.0,68.0,28.0,24.0,45.0,24.0,57.0,67.0,66.0,14.0,43.0,30.0,16.0,54.0,47.0,56.0,44.0,11.0,1.0,22.0,37.0
2020-12-23,49.0,69.0,44.0,73.0,30.0,23.0,42.0,23.0,51.0,67.0,36.0,9.0,42.0,26.0,15.0,62.0,44.0,61.0,43.0,11.0,2.0,21.0,36.0
2020-12-24,48.0,54.0,26.0,63.0,31.0,20.0,42.0,34.0,50.0,66.0,21.0,9.0,39.0,26.0,12.0,59.0,43.0,53.0,35.0,9.0,1.0,21.0,35.0
2020-12-25,41.0,35.0,50.0,83.0,24.0,22.0,45.0,56.0,45.0,79.0,14.0,6.0,33.0,21.0,14.0,70.0,44.0,40.0,35.0,7.0,1.0,17.0,32.0
2020-12-26,46.0,54.0,38.0,80.0,28.0,23.0,47.0,27.0,69.0,75.0,12.0,4.0,40.0,29.0,17.0,61.0,44.0,46.0,40.0,9.0,1.0,22.0,39.0
2020-12-27,47.0,69.0,40.0,79.0,21.0,23.0,49.0,21.0,73.0,65.0,13.0,10.0,42.0,31.0,14.0,60.0,44.0,53.0,40.0,8.0,1.0,23.0,39.0
2020-12-28,51.0,69.0,38.0,65.0,23.0,20.0,45.0,17.0,62.0,63.0,17.0,9.0,46.0,32.0,13.0,50.0,44.0,57.0,41.0,9.0,1.0,21.0,43.0
2020-12-29,52.0,72.0,42.0,70.0,27.0,20.0,45.0,20.0,64.0,64.0,20.0,15.0,44.0,28.0,17.0,61.0,49.0,63.0,45.0,11.0,1.0,25.0,42.0
2020-12-30,51.0,69.0,46.0,57.0,20.0,20.0,46.0,19.0,62.0,63.0,27.0,10.0,43.0,30.0,19.0,76.0,48.0,60.0,41.0,13.0,1.0,22.0,41.0
2020-12-31,50.0,57.0,31.0,64.0,26.0,19.0,46.0,19.0,58.0,62.0,23.0,8.0,45.0,31.0,19.0,68.0,49.0,55.0,44.0,11.0,1.0,20.0,40.0
2021-01-01,43.0,39.0,37.0,62.0,25.0,20.0,55.0,21.0,62.0,58.0,14.0,21.0,40.0,25.0,18.0,52.0,46.0,48.0,38.0,9.0,1.0,20.0,42.0
2021-01-02,46.0,61.0,46.0,90.0,26.0,23.0,50.0,21.0,77.0,62.0,13.0,30.0,41.0,28.0,22.0,71.0,46.0,53.0,43.0,9.0,1.0,26.0,44.0
2021-01-03,45.0,65.0,43.0,82.0,27.0,26.0,53.0,21.0,78.0,64.0,12.0,33.0,43.0,26.0,19.0,59.0,51.0,55.0,45.0,11.0,1.0,26.0,41.0
2021-01-04,47.0,74.0,27.0,75.0,28.0,22.0,45.0,15.0,67.0,61.0,19.0,33.0,44.0,30.0,16.0,57.0,44.0,63.0,41.0,12.0,1.0,24.0,39.0
2021-01-05,46.0,52.0,26.0,67.0,29.0,21.0,46.0,16.0,67.0,65.0,26.0,32.0,41.0,32.0,16.0,57.0,48.0,69.0,51.0,15.0,1.0,21.0,38.0
2021-01-06,43.0,62.0,25.0,60.0,32.0,22.0,45.0,17.0,59.0,61.0,19.0,38.0,40.0,29.0,20.0,70.0,52.0,63.0,42.0,11.0,1.0,20.0,34.0
2021-01-07,40.0,52.0,32.0,69.0,23.0,20.0,41.0,14.0,60.0,64.0,19.0,100.0,39.0,35.0,18.0,46.0,54.0,62.0,45.0,10.0,1.0,20.0,35.0
2021-01-08,39.0,70.0,31.0,65.0,27.0,20.0,45.0,16.0,64.0,63.0,21.0,62.0,41.0,32.0,18.0,69.0,52.0,66.0,47.0,10.0,1.0,21.0,39.0
2021-01-09,41.0,51.0,41.0,74.0,25.0,36.0,49.0,20.0,66.0,61.0,10.0,28.0,39.0,24.0,19.0,63.0,47.0,53.0,42.0,9.0,1.0,26.0,40.0
2021-01-10,37.0,52.0,50.0,79.0,30.0,37.0,51.0,20.0,71.0,58.0,11.0,16.0,39.0,29.0,17.0,43.0,46.0,54.0,41.0,8.0,1.0,23.0,40.0
2021-01-11,38.0,74.0,35.0,70.0,30.0,28.0,49.0,14.0,66.0,60.0,16.0,33.0,42.0,30.0,16.0,75.0,53.0,62.0,46.0,7.0,1.0,21.0,38.0
2021-01-12,40.0,75.0,28.0,75.0,33.0,23.0,47.0,17.0,67.0,63.0,21.0,32.0,40.0,41.0,15.0,59.0,54.0,70.0,51.0,9.0,1.0,23.0,37.0
2021-01-13,38.0,53.0,24.0,62.0,28.0,23.0,45.0,15.0,70.0,65.0,20.0,37.0,42.0,35.0,14.0,54.0,49.0,75.0,51.0,8.0,1.0,22.0,39.0
2021-01-14,38.0,62.0,21.0,63.0,33.0,22.0,47.0,17.0,67.0,66.0,20.0,37.0,43.0,35.0,15.0,56.0,48.0,72.0,57.0,9.0,1.0,21.0,39.0
2021-01-15,35.0,61.0,33.0,67.0,34.0,22.0,47.0,20.0,69.0,65.0,22.0,32.0,41.0,36.0,14.0,69.0,48.0,70.0,67.0,9.0,1.0,23.0,40.0
2021-01-16,33.0,64.0,30.0,73.0,24.0,21.0,48.0,19.0,71.0,60.0,11.0,17.0,41.0,31.0,16.0,60.0,47.0,58.0,50.0,9.0,1.0,27.0,44.0
2021-01-17,34.0,57.0,41.0,85.0,27.0,22.0,53.0,23.0,78.0,58.0,11.0,11.0,50.0,33.0,16.0,61.0,47.0,59.0,49.0,9.0,1.0,27.0,41.0
2021-01-18,36.0,58.0,22.0,81.0,35.0,21.0,53.0,18.0,71.0,61.0,15.0,18.0,44.0,31.0,12.0,65.0,49.0,67.0,51.0,10.0,1.0,25.0,44.0
2021-01-19,37.0,71.0,25.0,59.0,34.0,21.0,47.0,17.0,71.0,64.0,23.0,37.0,43.0,33.0,14.0,53.0,55.0,75.0,51.0,9.0,1.0,22.0,41.0
2021-01-20,34.0,63.0,23.0,60.0,30.0,23.0,55.0,15.0,64.0,60.0,23.0,33.0,40.0,35.0,15.0,61.0,48.0,67.0,49.0,9.0,1.0,20.0,36.0
2021-01-21,32.0,50.0,32.0,63.0,36.0,23.0,54.0,16.0,68.0,65.0,25.0,30.0,40.0,37.0,12.0,56.0,55.0,70.0,52.0,9.0,1.0,25.0,38.0
2021-01-22,32.0,72.0,30.0,60.0,31.0,23.0,49.0,17.0,68.0,59.0,22.0,38.0,43.0,39.0,13.0,49.0,48.0,74.0,53.0,9.0,2.0,21.0,40.0
2021-01-23,31.0,60.0,31.0,69.0,30.0,22.0,53.0,19.0,68.0,60.0,15.0,21.0,43.0,32.0,15.0,65.0,46.0,60.0,45.0,8.0,2.0,26.0,45.0
2021-01-24,30.0,46.0,30.0,78.0,27.0,23.0,57.0,21.0,72.0,58.0,12.0,25.0,44.0,42.0,14.0,59.0,49.0,59.0,45.0,8.0,2.0,28.0,42.0
2021-01-25,33.0,59.0,23.0,69.0,37.0,22.0,49.0,16.0,70.0,59.0,24.0,49.0,59.0,40.0,14.0,65.0,48.0,75.0,46.0,8.0,2.0,23.0,42.0
2021-01-26,32.0,67.0,21.0,59.0,28.0,22.0,47.0,14.0,69.0,62.0,25.0,36.0,43.0,40.0,14.0,52.0,56.0,75.0,49.0,9.0,2.0,20.0,43.0
2021-01-27,32.0,67.0,29.0,61.0,33.0,21.0,45.0,18.0,71.0,64.0,25.0,37.0,43.0,37.0,14.0,61.0,55.0,78.0,53.0,8.0,3.0,20.0,41.0
2021-01-28,30.0,66.0,30.0,58.0,37.0,22.0,44.0,17.0,68.0,61.0,28.0,32.0,40.0,35.0,14.0,70.0,48.0,72.0,53.0,9.0,3.0,20.0,40.0
2021-01-29,28.0,66.0,23.0,59.0,34.0,21.0,44.0,17.0,68.0,60.0,27.0,33.0,43.0,37.0,19.0,61.0,53.0,72.0,52.0,9.0,3.0,21.0,42.0
2021-01-30,27.0,47.0,26.0,71.0,28.0,23.0,46.0,23.0,72.0,56.0,15.0,20.0,44.0,37.0,19.0,70.0,47.0,63.0,47.0,9.0,3.0,24.0,47.0
2021-01-31,26.0,62.0,42.0,75.0,37.0,23.0,53.0,21.0,76.0,57.0,15.0,15.0,40.0,34.0,19.0,77.0,51.0,59.0,44.0,7.0,4.0,26.0,44.0
2021-02-01,27.0,50.0,18.0,63.0,38.0,21.0,46.0,17.0,68.0,59.0,23.0,33.0,44.0,35.0,17.0,63.0,53.0,68.0,49.0,8.0,4.0,21.0,42.0
2021-02-02,27.0,65.0,29.0,61.0,32.0,20.0,45.0,17.0,68.0,61.0,25.0,39.0,42.0,46.0,18.0,53.0,57.0,74.0,49.0,9.0,4.0,20.0,39.0
2021-02-03,27.0,59.0,22.0,65.0,35.0,23.0,47.0,17.0,72.0,63.0,27.0,34.0,44.0,50.0,17.0,67.0,54.0,75.0,51.0,11.0,2.0,24.0,40.0
2021-02-04,26.0,68.0,21.0,66.0,32.0,23.0,45.0,17.0,70.0,63.0,26.0,33.0,44.0,49.0,18.0,68.0,58.0,73.0,52.0,11.0,2.0,21.0,41.0
2021-02-05,24.0,46.0,30.0,68.0,34.0,23.0,47.0,17.0,69.0,60.0,28.0,38.0,46.0,40.0,19.0,58.0,49.0,78.0,51.0,9.0,2.0,23.0,41.0
2021-02-06,24.0,53.0,36.0,72.0,28.0,23.0,51.0,22.0,70.0,59.0,16.0,14.0,43.0,37.0,20.0,57.0,50.0,60.0,47.0,7.0,1.0,23.0,45.0
2021-02-07,22.0,45.0,17.0,80.0,36.0,22.0,57.0,19.0,71.0,58.0,12.0,15.0,48.0,43.0,22.0,74.0,49.0,57.0,43.0,7.0,1.0,26.0,39.0
2021-02-08,24.0,57.0,18.0,68.0,46.0,22.0,66.0,15.0,63.0,58.0,24.0,24.0,54.0,61.0,18.0,64.0,47.0,100.0,43.0,7.0,1.0,20.0,39.0
2021-02-09,27.0,50.0,16.0,61.0,30.0,21.0,47.0,17.0,69.0,61.0,26.0,31.0,43.0,48.0,23.0,46.0,59.0,78.0,50.0,6.0,2.0,22.0,40.0
2021-02-10,24.0,54.0,30.0,62.0,32.0,21.0,47.0,16.0,68.0,65.0,23.0,29.0,43.0,41.0,19.0,48.0,57.0,82.0,51.0,7.0,2.0,21.0,40.0
2021-02-11,22.0,55.0,25.0,59.0,30.0,24.0,45.0,17.0,65.0,60.0,26.0,32.0,44.0,44.0,20.0,49.0,54.0,74.0,50.0,6.0,2.0,21.0,41.0
2021-02-12,21.0,54.0,23.0,61.0,24.0,22.0,43.0,16.0,67.0,63.0,23.0,25.0,43.0,49.0,21.0,54.0,55.0,69.0,43.0,6.0,1.0,20.0,43.0
2021-02-13,18.0,50.0,25.0,68.0,26.0,22.0,48.0,21.0,71.0,57.0,12.0,15.0,46.0,33.0,24.0,56.0,49.0,62.0,45.0,5.0,1.0,22.0,44.0
2021-02-14,19.0,51.0,23.0,74.0,24.0,20.0,50.0,23.0,72.0,57.0,10.0,16.0,41.0,38.0,21.0,59.0,46.0,59.0,45.0,5.0,1.0,22.0,42.0
2021-02-15,19.0,58.0,36.0,58.0,33.0,20.0,49.0,19.0,65.0,57.0,15.0,12.0,46.0,35.0,17.0,57.0,48.0,68.0,44.0,4.0,1.0,21.0,42.0
2021-02-16,20.0,63.0,27.0,54.0,26.0,21.0,47.0,16.0,63.0,55.0,24.0,17.0,46.0,41.0,17.0,55.0,53.0,70.0,42.0,4.0,1.0,19.0,43.0
2021-02-17,18.0,65.0,26.0,61.0,22.0,22.0,45.0,19.0,60.0,61.0,23.0,23.0,51.0,41.0,18.0,42.0,53.0,69.0,42.0,4.0,1.0,20.0,42.0
2021-02-18,19.0,59.0,17.0,53.0,24.0,23.0,48.0,16.0,63.0,59.0,21.0,26.0,49.0,45.0,18.0,60.0,57.0,69.0,46.0,5.0,1.0,22.0,41.0
2021-02-19,17.0,50.0,21.0,65.0,26.0,23.0,49.0,17.0,66.0,61.0,24.0,25.0,45.0,34.0,18.0,61.0,49.0,71.0,47.0,3.0,1.0,21.0,43.0
2021-02-20,18.0,55.0,24.0,74.0,27.0,34.0,49.0,22.0,71.0,56.0,14.0,15.0,46.0,34.0,23.0,59.0,53.0,68.0,46.0,4.0,1.0,28.0,53.0
2021-02-21,18.0,67.0,28.0,78.0,29.0,42.0,52.0,21.0,75.0,56.0,14.0,15.0,44.0,37.0,20.0,61.0,53.0,62.0,42.0,4.0,1.0,25.0,52.0
2021-02-22,19.0,75.0,20.0,63.0,31.0,33.0,49.0,16.0,71.0,59.0,25.0,32.0,45.0,43.0,16.0,69.0,56.0,76.0,49.0,4.0,1.0,23.0,47.0
2021-02-23,19.0,62.0,19.0,67.0,28.0,26.0,49.0,15.0,67.0,62.0,26.0,35.0,44.0,52.0,17.0,52.0,60.0,75.0,49.0,4.0,1.0,21.0,44.0
2021-02-24,19.0,68.0,18.0,62.0,33.0,25.0,48.0,16.0,69.0,64.0,28.0,29.0,44.0,47.0,15.0,68.0,58.0,78.0,49.0,4.0,1.0,21.0,42.0
2021-02-25,19.0,63.0,19.0,60.0,29.0,26.0,46.0,16.0,66.0,62.0,27.0,31.0,46.0,45.0,16.0,61.0,57.0,76.0,49.0,4.0,1.0,22.0,43.0
2021-02-26,18.0,54.0,25.0,57.0,37.0,25.0,45.0,19.0,68.0,59.0,21.0,32.0,46.0,46.0,14.0,63.0,55.0,70.0,47.0,6.0,1.0,21.0,43.0
2021-02-27,18.0,49.0,27.0,72.0,26.0,24.0,49.0,21.0,72.0,55.0,12.0,25.0,46.0,33.0,15.0,59.0,51.0,64.0,45.0,4.0,1.0,24.0,49.0
2021-02-28,18.0,68.0,37.0,72.0,29.0,24.0,51.0,22.0,73.0,56.0,13.0,15.0,41.0,42.0,16.0,61.0,59.0,61.0,41.0,3.0,1.0,25.0,46.0
2021-03-01,19.0,66.0,20.0,64.0,29.0,24.0,50.0,17.0,71.0,60.0,24.0,32.0,46.0,49.0,13.0,66.0,57.0,74.0,46.0,3.0,1.0,22.0,44.0
2021-03-02,18.0,68.0,18.0,54.0,32.0,23.0,47.0,16.0,70.0,64.0,29.0,36.0,47.0,48.0,15.0,73.0,59.0,78.0,49.0,4.0,1.0,20.0,45.0
2021-03-03,18.0,56.0,23.0,66.0,26.0,24.0,44.0,17.0,69.0,63.0,28.0,36.0,44.0,48.0,15.0,69.0,57.0,80.0,45.0,5.0,1.0,19.0,44.0
2021-03-04,18.0,58.0,12.0,66.0,31.0,24.0,44.0,19.0,70.0,62.0,27.0,51.0,46.0,46.0,16.0,64.0,58.0,76.0,49.0,3.0,1.0,21.0,44.0
2021-03-05,17.0,62.0,22.0,61.0,30.0,25.0,43.0,19.0,66.0,60.0,24.0,46.0,46.0,37.0,14.0,67.0,59.0,73.0,48.0,4.0,1.0,21.0,46.0
